"FileName","Population","TPs","Lambda","N","N_numeric","Total_Rows","Total_Violations","Total_True_Violations","True_Violation_Perc","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.4",".600",0.41,0.4,"N = 4000","4000",500,96,96,19.2,19.2,0,0,0,0,404,"Yes",772
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.4",".700",0.85,0.4,"N = 4000","4000",500,93,93,18.6,18.6,0,0,0,0,407,"Yes",766
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.4",".800",1.385,0.4,"N = 4000","4000",500,107,107,21.4,21.4,0,0,0,0,393,"Yes",795
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.6",".400",-0.41,0.6,"N = 4000","4000",500,167,167,33.4,33.4,0,0,0,0,333,"Yes",955
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.6",".300",-0.85,0.6,"N = 4000","4000",500,181,181,36.2,36.2,0,0,0,0,319,"Yes",1002
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.6",".200",-1.385,0.6,"N = 4000","4000",500,227,227,45.4,45.4,0,0,0,0,273,"Yes",1202
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.6",".600",0.41,0.6,"N = 4000","4000",500,85,85,17,17,0,0,0,0,415,"Yes",750
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.6",".700",0.85,0.6,"N = 4000","4000",500,85,85,17,17,0,0,0,0,415,"Yes",750
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.6",".800",1.385,0.6,"N = 4000","4000",500,85,85,17,17,0,0,0,0,415,"Yes",750
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.8",".400",-0.41,0.8,"N = 4000","4000",500,141,141,28.2,28.2,0,0,0,0,359,"Yes",878
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.8",".300",-0.85,0.8,"N = 4000","4000",500,189,189,37.8,37.8,0,0,0,0,311,"Yes",1032
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.8",".200",-1.385,0.8,"N = 4000","4000",500,186,186,37.2,37.2,0,0,0,0,314,"Yes",1021
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.8",".600",0.41,0.8,"N = 4000","4000",500,79,79,15.8,15.8,0,0,0,0,421,"Yes",739
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.8",".700",0.85,0.8,"N = 4000","4000",500,86,86,17.2,17.2,0,0,0,0,414,"Yes",752
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.8",".800",1.385,0.8,"N = 4000","4000",500,121,121,24.2,24.2,0,0,0,0,379,"Yes",827
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_1",".400",-0.41,1,"N = 4000","4000",500,186,186,37.2,37.2,0,0,0,0,314,"Yes",1021
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_1",".300",-0.85,1,"N = 4000","4000",500,198,198,39.6,39.6,0,0,0,0,302,"Yes",1068
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_1",".200",-1.385,1,"N = 4000","4000",500,213,213,42.6,42.6,0,0,0,0,287,"Yes",1133
"rilta_lta_n_4000_tp_0.41_th_1_lambda_1",".600",0.41,1,"N = 4000","4000",500,111,111,22.2,22.2,0,0,0,0,389,"Yes",804
"rilta_lta_n_4000_tp_0.85_th_1_lambda_1",".700",0.85,1,"N = 4000","4000",500,100,100,20,20,0,0,0,0,400,"Yes",780
"rilta_lta_n_4000_tp_1.385_th_1_lambda_1",".800",1.385,1,"N = 4000","4000",500,119,119,23.8,23.8,0,0,0,0,381,"Yes",822
