"FileName","Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_m2_n_500_tp_3.179_m_1_l_b","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","B",499,40,8,66,13.2,1,0.2,102,20.4,397,"Yes",783
"rilta_lta_m2_n_500_tp_3.179_m_1_l_c","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","C",498,37,7.4,59,11.8,4,0.8,91,18.3,407,"Yes",760
"rilta_lta_m2_n_500_tp_3.179_m_1_l_d","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","D",500,38,7.6,72,14.4,2,0.4,105,21,395,"Yes",791
"rilta_lta_m2_n_500_tp_3.179_m_2_l_0.3","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","0.3",500,97,19.4,7,1.4,1,0.2,102,20.4,398,"Yes",784
"rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","0.5",497,122,24.5,5,1,5,1,128,25.8,369,"Yes",842
"rilta_lta_m2_n_500_tp_3.179_m_2_l_0.7","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","0.7",498,117,23.5,3,0.6,3,0.6,121,24.3,377,"Yes",825
"rilta_lta_m2_n_500_tp_3.179_m_2_l_0.9","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","0.9",499,141,28.3,4,0.8,0,0,145,29.1,354,"Yes",889
"rilta_lta_m2_n_500_tp_3.179_m_2_l_a","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","A",499,105,21,12,2.4,1,0.2,117,23.4,382,"Yes",816
"rilta_lta_m2_n_500_tp_3.179_m_2_l_b","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","B",497,111,22.3,5,1,2,0.4,116,23.3,381,"Yes",812
"rilta_lta_m2_n_500_tp_3.179_m_2_l_c","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","C",499,110,22,2,0.4,0,0,112,22.4,387,"Yes",805
"rilta_lta_m2_n_500_tp_3.179_m_2_l_d","Model 2","N = 500",500,".800",3.179,2,".33, .33, .33","D",499,102,20.4,3,0.6,0,0,103,20.6,396,"Yes",785
"rilta_lta_m2_n_500_tp_3.179_m_3_l_0.3","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","0.3",500,60,12,31,6.2,1,0.2,88,17.6,412,"Yes",756
"rilta_lta_m2_n_500_tp_3.179_m_3_l_0.5","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","0.5",498,84,16.9,20,4,2,0.4,102,20.5,396,"Yes",783
"rilta_lta_m2_n_500_tp_3.179_m_3_l_0.7","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","0.7",497,92,18.5,8,1.6,3,0.6,102,20.5,395,"Yes",781
"rilta_lta_m2_n_500_tp_3.179_m_3_l_0.9","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","0.9",497,119,23.9,5,1,1,0.2,125,25.2,372,"Yes",834
"rilta_lta_m2_n_500_tp_3.179_m_3_l_a","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","A",499,62,12.4,30,6,1,0.2,90,18,409,"Yes",758
"rilta_lta_m2_n_500_tp_3.179_m_3_l_b","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","B",500,66,13.2,14,2.8,2,0.4,81,16.2,419,"Yes",742
"rilta_lta_m2_n_500_tp_3.179_m_3_l_c","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","C",500,70,14,21,4.2,4,0.8,94,18.8,406,"Yes",768
"rilta_lta_m2_n_500_tp_3.179_m_3_l_d","Model 2","N = 500",500,".800",3.179,3,".60, .30, .10","D",497,65,13.1,15,3,0,0,80,16.1,417,"Yes",737
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.3","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.3",500,101,20.2,94,18.8,1,0.2,177,35.4,323,"Yes",988
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.5","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.5",500,97,19.4,85,17,1,0.2,158,31.6,342,"Yes",927
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.7","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.7",500,119,23.8,55,11,0,0,164,32.8,336,"Yes",945
"rilta_lta_m3_n_500_tp_3.179_m_1_l_0.9","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","0.9",499,159,31.9,42,8.4,1,0.2,184,36.9,315,"Yes",1013
"rilta_lta_m3_n_500_tp_3.179_m_1_l_a","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","A",499,113,22.6,83,16.6,0,0,178,35.7,321,"Yes",992
"rilta_lta_m3_n_500_tp_3.179_m_1_l_b","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","B",499,108,21.6,112,22.4,1,0.2,197,39.5,302,"Yes",1064
"rilta_lta_m3_n_500_tp_3.179_m_1_l_c","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","C",500,98,19.6,118,23.6,3,0.6,198,39.6,302,"Yes",1068
"rilta_lta_m3_n_500_tp_3.179_m_1_l_d","Model 3","N = 500",500,".800",3.179,1,".10, .30, .60","D",499,94,18.8,126,25.3,0,0,196,39.3,303,"Yes",1060
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.3","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.3",500,169,33.8,7,1.4,2,0.4,174,34.8,326,"Yes",978
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.5","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.5",498,153,30.7,15,3,0,0,165,33.1,333,"Yes",946
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.7","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.7",500,161,32.2,14,2.8,1,0.2,173,34.6,327,"Yes",975
"rilta_lta_m3_n_500_tp_3.179_m_2_l_0.9","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","0.9",500,174,34.8,15,3,0,0,183,36.6,317,"Yes",1010
"rilta_lta_m3_n_500_tp_3.179_m_2_l_a","Model 3","N = 500",500,".800",3.179,2,".33, .33, .33","A",500,161,32.2,14,2.8,0,0,167,33.4,333,"Yes",955
