"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","D",500,234,46.8,9,1.8,2,0.4,243,48.6,1293
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.3",500,246,49.2,9,1.8,0,0,251,50.2,1344
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.5",499,260,52.1,17,3.4,0,0,272,54.5,1502
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.7",500,281,56.2,27,5.4,0,0,289,57.8,1658
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.9",495,323,65.3,72,14.5,0,0,346,69.9,2647
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","A",500,263,52.6,48,9.6,0,0,285,57,1618
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","B",499,293,58.7,247,49.5,5,1,398,79.8,5479
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","C",499,297,59.5,348,69.7,7,1.4,431,86.4,19248
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60","D",499,322,64.5,399,80,2,0.4,462,92.6,499
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.3",500,319,63.8,0,0,0,0,319,63.8,2040
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.5",500,310,62,0,0,0,0,310,62,1907
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.7",500,303,60.6,1,0.2,0,0,303,60.6,1816
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.9",500,291,58.2,43,8.6,2,0.4,313,62.6,1949
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","A",500,276,55.2,1,0.2,0,0,276,55.2,1535
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","B",498,298,59.8,184,36.9,8,1.6,362,72.7,3111
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","C",497,378,76.1,344,69.2,4,0.8,454,91.3,497
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33","D",500,375,75,378,75.6,5,1,478,95.6,500
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.3",500,240,48,0,0,0,0,240,48,1275
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.5",500,258,51.6,2,0.4,0,0,258,51.6,1392
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.7",499,249,49.9,14,2.8,0,0,253,50.7,1358
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.9",496,271,54.6,74,14.9,0,0,299,60.3,1784
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","A",500,217,43.4,3,0.6,0,0,218,43.6,1157
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","B",499,236,47.3,275,55.1,8,1.6,376,75.4,3725
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","C",499,262,52.5,359,71.9,0,0,434,87,25005
