"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.4",".800",1.385,"N = 4000","4000","0.4",764,235,30.8,0,0,0,0,235,30.8,529,"No",773
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.6",".200",-1.385,"N = 4000","4000","0.6",933,402,43.1,0,0,0,0,402,43.1,531,"No",929
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.6",".300",-0.85,"N = 4000","4000","0.6",939,418,44.5,0,0,0,0,418,44.5,521,"No",951
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.6",".400",-0.41,"N = 4000","4000","0.6",955,381,39.9,0,0,0,0,381,39.9,574,"No",882
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.6",".600",0.41,"N = 4000","4000","0.6",872,302,34.6,0,0,0,0,302,34.6,570,"No",815
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.6",".700",0.85,"N = 4000","4000","0.6",854,277,32.4,0,0,1,0.1,278,32.6,576,"No",792
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.6",".800",1.385,"N = 4000","4000","0.6",900,253,28.1,0,0,0,0,253,28.1,647,"No",746
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.8",".200",-1.385,"N = 4000","4000","0.8",961,405,42.1,0,0,0,0,405,42.1,556,"No",914
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.8",".300",-0.85,"N = 4000","4000","0.8",1162,530,45.6,0,0,0,0,530,45.6,632,"No",970
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.8",".400",-0.41,"N = 4000","4000","0.8",961,378,39.3,0,0,0,0,378,39.3,583,"No",874
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.8",".600",0.41,"N = 4000","4000","0.8",936,304,32.5,0,0,0,0,304,32.5,632,"No",791
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.8",".700",0.85,"N = 4000","4000","0.8",875,278,31.8,0,0,0,0,278,31.8,597,"No",784
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.8",".800",1.385,"N = 4000","4000","0.8",832,267,32.1,0,0,0,0,267,32.1,565,"No",787
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_1",".200",-1.385,"N = 4000","4000","1",988,449,45.4,0,0,0,0,449,45.4,539,"No",966
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_1",".300",-0.85,"N = 4000","4000","1",878,322,36.7,0,0,0,0,322,36.7,556,"No",840
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_1",".400",-0.41,"N = 4000","4000","1",921,359,39,0,0,0,0,359,39,562,"No",870
"rilta_lta_n_4000_tp_0.41_th_1_lambda_1",".600",0.41,"N = 4000","4000","1",857,339,39.6,0,0,0,0,339,39.6,518,"No",878
"rilta_lta_n_4000_tp_0.85_th_1_lambda_1",".700",0.85,"N = 4000","4000","1",827,278,33.6,0,0,0,0,278,33.6,549,"No",804
"rilta_lta_n_4000_tp_1.385_th_1_lambda_1",".800",1.385,"N = 4000","4000","1",834,266,31.9,0,0,0,0,266,31.9,568,"No",785
