"FileName","Population","Lambda","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.2",0.3,0.2,"N = 4000","Mover",583,0.315,0.018,0.018,0.001,0.877,1,583,5,0,5.09624,-0.1069,1,0
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.4",0.3,0.4,"N = 4000","Mover",547,0.359,0.018,0.019,0.004,0.119,1,547,19.67,-5.26,19.69075,-5.09456,1,0
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.6",0.3,0.6,"N = 4000","Mover",521,0.431,0.018,0.018,0.017,0,1,521,43.67,0,43.55602,0.38268,1,0
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.8",0.3,0.8,"N = 4000","Mover",632,0.511,0.017,0.017,0.045,0,1,632,70.33,0,70.5073,-2.28197,1,0
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0",0.3,0,"N = 4000","Mover",589,0.3,0.018,0.018,0,0.946,1,589,0,0,-0.05237,1.11544,1,1
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_1",0.3,1,"N = 4000","Mover",556,0.587,0.016,0.017,0.083,0,1,556,95.67,-5.88,95.83716,-4.78501,1,0
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.2",0.2,0.2,"N = 4000","Mover",588,0.217,0.017,0.017,0.001,0.833,1,588,8.5,0,8.4385,1.70212,1,0
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.4",0.2,0.4,"N = 4000","Mover",596,0.268,0.018,0.017,0.005,0.029,1,596,34,5.88,33.973,4.1429,1,0
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.6",0.2,0.6,"N = 4000","Mover",531,0.348,0.018,0.018,0.022,0,1,531,74,0,73.8955,0.36834,1,0
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.8",0.2,0.8,"N = 4000","Mover",556,0.442,0.018,0.018,0.059,0,1,556,121,0,121.271,2.89736,1,0
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0",0.2,0,"N = 4000","Mover",567,0.201,0.017,0.016,0,0.965,1,567,0.5,6.25,0.5085,7.94568,1,1
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_1",0.2,1,"N = 4000","Mover",539,0.531,0.017,0.016,0.11,0,1,539,165.5,6.25,165.661,4.13831,1,0
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.2",0.6,0.2,"N = 4000","Stayer",544,0.61,0.018,0.017,0,0.893,1,544,1.67,5.88,1.74227,4.11256,1,0
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.4",0.6,0.4,"N = 4000","Stayer",622,0.634,0.017,0.018,0.001,0.5,1,622,5.67,-5.56,5.60614,-3.2766,1,0
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.6",0.6,0.6,"N = 4000","Stayer",570,0.672,0.016,0.017,0.005,0.012,1,570,12,-5.88,11.93662,-4.86335,1,0
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.8",0.6,0.8,"N = 4000","Stayer",632,0.717,0.015,0.016,0.014,0,1,632,19.5,-6.25,19.48308,-4.26387,1,0
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0",0.6,0,"N = 4000","Stayer",565,0.603,0.018,0.017,0,0.952,1,565,0.5,5.88,0.41915,5.43524,1,1
"rilta_lta_n_4000_tp_0.41_th_1_lambda_1",0.6,1,"N = 4000","Stayer",518,0.76,0.014,0.015,0.026,0,1,518,26.67,-6.67,26.73046,-6.23985,1,0
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.2",0.7,0.2,"N = 4000","Stayer",555,0.707,0.016,0.017,0,0.91,1,555,1,-5.88,0.99244,-6.17903,1,1
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.4",0.7,0.4,"N = 4000","Stayer",545,0.723,0.016,0.017,0.001,0.675,1,545,3.29,-5.88,3.22709,-5.15293,1,0
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.6",0.7,0.6,"N = 4000","Stayer",576,0.75,0.015,0.016,0.003,0.13,1,576,7.14,-6.25,7.09735,-7.93025,1,0
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.8",0.7,0.8,"N = 4000","Stayer",597,0.783,0.014,0.015,0.007,0,1,597,11.86,-6.67,11.91952,-5.04893,1,0
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0",0.7,0,"N = 4000","Stayer",560,0.701,0.017,0.017,0,0.938,1,560,0.14,0,0.20415,0.69303,1,1
"rilta_lta_n_4000_tp_0.85_th_1_lambda_1",0.7,1,"N = 4000","Stayer",549,0.816,0.013,0.014,0.014,0,1,549,16.57,-7.14,16.58929,-8.1428,1,0
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.2",0.8,0.2,"N = 4000","Stayer",526,0.803,0.015,0.015,0,0.926,1,526,0.38,0,0.39338,-2.38944,1,1
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.4",0.8,0.4,"N = 4000","Stayer",529,0.812,0.015,0.015,0,0.858,1,529,1.5,0,1.47565,0.65842,1,0
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.6",0.8,0.6,"N = 4000","Stayer",647,0.828,0.014,0.015,0.001,0.481,1,647,3.5,-6.67,3.54673,-3.15957,1,0
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.8",0.8,0.8,"N = 4000","Stayer",565,0.85,0.013,0.014,0.003,0.041,1,565,6.25,-7.14,6.26004,-7.10549,1,0
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0",0.8,0,"N = 4000","Stayer",580,0.801,0.015,0.016,0,0.934,1,580,0.13,-6.25,0.15151,-5.09699,1,1
"rilta_lta_n_4000_tp_1.385_th_1_lambda_1",0.8,1,"N = 4000","Stayer",568,0.872,0.012,0.012,0.005,0,1,568,9,0,9.02001,-1.43028,1,0
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.2",0.4,0.2,"N = 500","Mover",560,0.411,0.053,0.051,0.003,0.959,1,560,2.75,3.92,2.6375,5.04384,1,1
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.4",0.4,0.4,"N = 500","Mover",578,0.452,0.052,0.051,0.005,0.841,1,578,13,1.96,12.87975,3.70947,1,0
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.6",0.4,0.6,"N = 500","Mover",554,0.512,0.051,0.049,0.015,0.442,1,554,28,4.08,27.959,3.62533,1,0
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.8",0.4,0.8,"N = 500","Mover",585,0.581,0.049,0.048,0.035,0.048,1,585,45.25,2.08,45.152,1.15106,1,0
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0",0.4,0,"N = 500","Mover",589,0.401,0.053,0.051,0.003,0.958,1,589,0.25,3.92,0.209,4.86447,1,1
"rilta_lta_n_500_tp_-0.41_th_1_lambda_1",0.4,1,"N = 500","Mover",547,0.645,0.045,0.046,0.062,0.002,1,547,61.25,-2.17,61.31175,-1.96293,1,0
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.2",0.3,0.2,"N = 500","Mover",560,0.315,0.051,0.048,0.003,0.95,1,560,5,6.25,4.98289,7.34676,1,1
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.4",0.3,0.4,"N = 500","Mover",543,0.358,0.053,0.048,0.006,0.836,1,543,19.33,10.42,19.39246,10.78793,1,0
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.6",0.3,0.6,"N = 500","Mover",578,0.429,0.052,0.05,0.019,0.296,1,578,43,4,43.09573,5.16938,1,0
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.8",0.3,0.8,"N = 500","Mover",613,0.51,0.05,0.05,0.047,0.015,1,613,70,0,70.1299,-0.32483,1,0
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0",0.3,0,"N = 500","Mover",569,0.299,0.051,0.047,0.002,0.967,0.998,569,-0.33,8.51,-0.33632,10.22865,1,1
"rilta_lta_n_500_tp_-0.85_th_1_lambda_1",0.3,1,"N = 500","Mover",571,0.589,0.047,0.046,0.086,0,1,571,96.33,2.17,96.32561,3.05636,1,0
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.2",0.2,0.2,"N = 500","Mover",550,0.217,0.049,0.045,0.002,0.949,0.993,550,8.5,8.89,8.397,8.33914,1,1
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.4",0.2,0.4,"N = 500","Mover",595,0.269,0.051,0.046,0.007,0.748,1,595,34.5,10.87,34.523,10.96488,1,0
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.6",0.2,0.6,"N = 500","Mover",577,0.348,0.052,0.051,0.024,0.198,1,577,74,1.96,73.967,2.73115,1,0
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.8",0.2,0.8,"N = 500","Mover",563,0.441,0.051,0.049,0.06,0.002,1,563,120.5,4.08,120.524,4.70604,1,0
